NACA 2412 Airfoil M=2.0% P=40.0% T=12.0%
  1.000000  0.001260
  0.998459  0.001579
  0.993844  0.002529
  0.986185  0.004092
  0.975528  0.006241
  0.961940  0.008935
  0.945503  0.012126
  0.926320  0.015759
  0.904508  0.019774
  0.880203  0.024103
  0.853553  0.028679
  0.824724  0.033430
  0.793893  0.038286
  0.761249  0.043173
  0.726995  0.048022
  0.691342  0.052761
  0.654508  0.057319
  0.616723  0.061627
  0.578217  0.065618
  0.539230  0.069226
  0.500000  0.072385
  0.460770  0.075035
  0.421783  0.077122
  0.383277  0.078574
  0.345492  0.079203
  0.308658  0.078957
  0.273005  0.077832
  0.238751  0.075842
  0.206107  0.073015
  0.175276  0.069397
  0.146447  0.065047
  0.119797  0.060040
  0.095492  0.054458
  0.073680  0.048395
  0.054497  0.041945
  0.038060  0.035205
  0.024472  0.028266
  0.013815  0.021212
  0.006156  0.014114
  0.001541  0.007031
  0.000000  0.000000
  0.001541 -0.006723
  0.006156 -0.012893
  0.013815 -0.018496
  0.024472 -0.023521
  0.038060 -0.027955
  0.054497 -0.031788
  0.073680 -0.035016
  0.095492 -0.037640
  0.119797 -0.039668
  0.146447 -0.041119
  0.175276 -0.042022
  0.206107 -0.042413
  0.238751 -0.042342
  0.273005 -0.041864
  0.308658 -0.041043
  0.345492 -0.039946
  0.383277 -0.038644
  0.421783 -0.037174
  0.460770 -0.035446
  0.500000 -0.033496
  0.539230 -0.031379
  0.578217 -0.029148
  0.616723 -0.026846
  0.654508 -0.024516
  0.691342 -0.022192
  0.726995 -0.019903
  0.761249 -0.017674
  0.793893 -0.015525
  0.824724 -0.013474
  0.853553 -0.011536
  0.880203 -0.009725
  0.904508 -0.008055
  0.926320 -0.006539
  0.945503 -0.005190
  0.961940 -0.004021
  0.975528 -0.003044
  0.986185 -0.002272
  0.993844 -0.001712
  0.998459 -0.001373
  1.000000 -0.001260
